,C1.1,C1.2,C1.3,C1.4,C1.5,C1.6,C1.7,C1.8,C1.9,C1.10,C1.11,C1.12,C1.13,C1.14,C1.15,C1.16,C1.17,C1.18,C1.19,C1.20,C1.21,C1.22,C1.23,C1.24,C1.25,C1.26,C1.27,C1.28,C1.29,C1.30,C1.31,C1.32,C1.33,ABC.1,ABC.2,ABC.3,ABC.4,ABC.5,ABC.6,ABC.7,ABC.8,ABC.9,ABC.10,ABC.11,ABC.12,ABC.13,ABC.14,ABC.15,ABC.16,ABC.17,ABC.18,ABC.19,ABC.20,ABC.21,ABC.22,ABC.23,ABC.24,ABC.25,ABC.26,ABC.27,ABC.28,ABC.29,ABC.30,ABC.31,ABC.32,ABC.33,Space1,description,Space2,pvalue (Ttest),Bonferoni Correction (Ttest),Benjamin-Hochberger Correction (Ttest),Space3,Mann-Whitney U Test (Wilcox-Test),Bonferoni Correction (Wilcox-Test),Benjamin-Hochberger Correction (Wilcox-Test),Space5,Average Group 1,Average Group 2,Group_2/Group_1
Chemotaxis,0.011903142,0.003894768,0.014472777,0.002283105,0.008477097,0.004308559,0.008582017,0.008182881,0.006559641,0.009073543,0.008739255,0.00829808,0.00600907,0.007763975,0.009991079,0.005580122,0.008072733,0.006358768,0.00711842,0.004968383,0.009743657,0.005417118,0.009742426,0.004440607,0.012490632,0.028405122,0.009109312,0.002148505,0.009066053,0.004734057,0.008306036,0.011371713,0.00633212,0.005517827,0.008387595,0.005262065,0.005418244,0.003871514,0.003530979,0.005277191,0.002754222,0.002903082,0.00673913,0.001446856,0.011119134,0.009265988,0.000665927,0.003767267,0.007061164,0.005129145,0.007158968,0.008929411,0.008194234,0.005298651,0.003483183,0.005092144,0.010595543,0.00508163,0.00319048,0.014989293,0.004583178,0.003192796,0.007766335,0.004803695,0.0075246,0.005255041,,"GROUP 1 vs GROUP2 pvalue:  0.05 , Group 1:  1  to  33 , Group 2:  34  to  66",,0.01511005961,1,0.6976091236,,0.005996243351,1,0.7753696754,,0.008240750697,0.005856257939,0.7106461723
Apoptosis,0.03196844,0.02079659,0.032391454,0.035844749,0.029223676,0.038362748,0.028671738,0.026756722,0.036595892,0.022922636,0.026361032,0.036121054,0.019727891,0.029411765,0.031043711,0.023583912,0.027823497,0.023845382,0.027866681,0.036133695,0.024914988,0.023943662,0.020685974,0.018379178,0.031476393,0.025261932,0.020355376,0.022688209,0.026190819,0.023252576,0.028076743,0.028002843,0.030394174,0.022177419,0.020858625,0.02790279,0.024716099,0.035871998,0.021785476,0.022330852,0.032905704,0.020209915,0.022608696,0.023706177,0.016895307,0.029069767,0.019311876,0.019882796,0.027051218,0.030591683,0.02628224,0.022088542,0.03414264,0.023362235,0.02416458,0.024975752,0.023017903,0.019353444,0.019574028,0.017773019,0.026012635,0.022513303,0.029208172,0.025127021,0.030677214,0.024847204,,"GROUP 1 vs GROUP2 pvalue:  0.05 , Group 1:  1  to  33 , Group 2:  34  to  66",,0.01929721527,1,0.6976091236,,0.01696204802,1,0.7753696754,,0.02754776158,0.02457564636,0.8921104641
One-carbon metabolism,0.000272072,0.001396238,0.00034459,0,7.44E-05,8.29E-05,0.000195046,0.000389661,0.000172622,0.001193887,0.005730659,0.000162707,0.001247166,0.000182682,0,0.000842283,0.001410769,0.000753012,0.000882905,0.000903342,0.000457756,0.002166847,0.000266916,0.001480202,0.001498876,0,0.000224921,0.000257821,0.00129515,0.000835422,0.001052878,0.000142146,0.000474909,0.000583616,0.000441452,0.001177041,0.000222668,0.000665416,0.001532312,0.000333296,0.000724795,0.001451541,0.006304348,0.003784085,0.000288809,0.001453488,0.003551609,0,0.000795624,0.004213226,0,0.002067864,0.000758725,0.000842967,0.002285839,0.002909796,0.000913409,0.002270516,0.00215573,0.000321199,0.000495479,0.000654932,0.000844167,0.001016166,0.000482346,0.00079968,,"GROUP 1 vs GROUP2 pvalue:  0.05 , Group 1:  1  to  33 , Group 2:  34  to  66",,0.05210127546,1,0.6976091236,,0.0216725246,1,0.7753696754,,0.0007997182545,0.001404307303,1.756002561
Sensory transduction,0.015372058,0.008597884,0.009074202,0.023059361,0.026397977,0.019802801,0.020479813,0.001039096,0.011047816,0.010267431,0.002578797,0.023267166,0.009297052,0.00520643,0.004817128,0.00336913,0.003135042,0.007279116,0.009325681,0.014654221,0.009220507,0.00411701,0.016815695,0.003823856,0.01798651,0.007450524,0.005398111,0.005586112,0.010649014,0.011695906,0.002690688,0.004264392,0.01693842,0.010452037,0.002096899,0.007477671,0.002300898,0.023168592,0.01272485,0.002888568,0.011596724,0.008318446,0.005652174,0.004897051,0.021805054,0.004723837,0.00554939,0.005441607,0.004574838,0.002747756,0.009316466,0.004323715,0.013808801,0.004576108,0.008381409,0.000484966,0.013518451,0.003243594,0.003707855,0.004068522,0.004830918,0.00785919,0.007091001,0.002124711,0.002315261,0.00279888,,"GROUP 1 vs GROUP2 pvalue:  0.05 , Group 1:  1  to  33 , Group 2:  34  to  66",,0.02403698229,1,0.6976091236,,0.02496016493,1,0.7753696754,,0.01044560445,0.006935340606,0.6639482316
Competence,0.000476126,0.001175779,0.000918907,0.000456621,0.002379536,0.000331428,0.001755413,0.000519548,0.002244088,0.000358166,0.002578797,0.000488122,0.000340136,0.00100475,0.000356824,0.001052853,0.001724273,0.00125502,0.002814259,0.001957242,0.001307873,0.002383532,0.000533832,0.003083755,0,0.000232829,0.004610886,0.001203163,0,0.00278474,0.003509593,0.001563611,0,0.002493633,0.000110363,0.00090009,0.002375121,6.05E-05,0.002798135,0.002888568,0.001667029,0.001060741,0.004565217,0.00523094,0.001299639,0.001453488,0.007103219,0.000627878,0.001392342,0.000366367,0.001176817,0.001127926,0.000758725,0.000963391,0.001850441,0.008971872,0.003653635,0.001838037,0.002241959,0.000856531,0.002849003,0.00237413,0.001350667,0.002771363,0.003858769,0.003312961,,"GROUP 1 vs GROUP2 pvalue:  0.05 , Group 1:  1  to  33 , Group 2:  34  to  66",,0.02074254247,1,0.6976091236,,0.02564470571,1,0.7753696754,,0.001375809152,0.002313620891,1.681643772
Inflammatory response,0.011563053,0.001690182,0.009878245,0.002739726,0.004312909,0.001905709,0.005071192,0.001948305,0.003107198,0.002029608,0.003581662,0.005694761,0.001020408,0.003470954,0.002319358,0.001473995,0.003291794,0.002677376,0.001158812,0.001806685,0.003792833,0.002166847,0.003336447,0.000986802,0.005745691,0.026891735,0.000562303,0.002406325,0.002446395,0.00278474,0.002924661,0.006538735,0.004590787,0.003713922,0.002317625,0.002284844,0.001113338,0.003145605,0.000199867,0.001610932,0.00152207,0.002903082,0.002391304,0.001780746,0.005631769,0.003452035,0.000221976,0.001883633,0.001790154,0.003114123,0.005393743,0.001033932,0.001972686,0,0.00206814,0.002182347,0.00310559,0.000864958,0.002414418,0.014882227,0,0.001391731,0.0025325,0.00221709,0.005498746,0.00074256,,"GROUP 1 vs GROUP2 pvalue:  0.05 , Group 1:  1  to  33 , Group 2:  34  to  66",,0.1103296908,1,0.6976091236,,0.02830690853,1,0.7753696754,,0.004118673727,0.002587202818,0.6281640619
Autophagy,0.009046388,0.001102293,0.010337698,0.000913242,0.003569304,0.001657138,0.0046811,0.001948305,0.003625065,0.002268386,0.003151862,0.002928734,0.000566893,0.001644136,0.002319358,0.001473995,0.002743162,0.003012048,0.000827723,0.000853157,0.00268114,0.001625135,0.001868411,0.000616751,0.005995503,0.006752037,0.000224921,0.000859402,0.00129515,0.001670844,0.002339729,0.003695807,0.002374545,0.002599745,0.002317625,0.002284844,0.00089067,0.001088863,0.000199867,0.00088879,0.001884468,0.002065654,0.002826087,0.001224263,0.00433213,0.001271802,0.000443951,0.001883633,0.000497265,0.001648654,0.003628518,0.001127926,0.001062215,0,0.00195929,0.002182347,0.002374863,0.000432479,0.002759334,0.001391863,0,0.001227998,0.000844167,0.001570439,0.004726992,0.00074256,,"GROUP 1 vs GROUP2 pvalue:  0.05 , Group 1:  1  to  33 , Group 2:  34  to  66",,0.0188162488,1,0.6976091236,,0.03433979559,1,0.7753696754,,0.002747556424,0.001647857636,0.5997538838
DNA damage,0.002040539,0.000808348,0.001952676,0.003196347,0.002751338,0,0.000780183,0.001688531,0.000172622,0.00095511,0.001575931,0.000325415,0.000680272,0.00100475,0.000356824,0.000842283,0.00078376,0.001087684,0.003973071,0.002860584,0.003138896,0.003358613,0.000266916,0.00653756,0.000499625,0.006984866,0.004385965,0.004297009,0.006044035,0.005708716,0.005498362,0.004264392,0.002216242,0.006313667,0.000441452,0.002354082,0.007793365,0.002359204,0.002598268,0.006499278,0.000869754,0.008709245,0.003695652,0.003227602,0.002454874,0.005268895,0.000665927,0.002511511,0.004773744,0.008426452,0.002059429,0.001315913,0.001062215,0.002047206,0.000870796,0.001454898,0.000182682,0.001405557,0.000776063,0.006745182,0.004211569,0.00736799,0.007766335,0.007020785,0.006077561,0.004284001,,"GROUP 1 vs GROUP2 pvalue:  0.05 , Group 1:  1  to  33 , Group 2:  34  to  66",,0.03271140403,1,0.6976091236,,0.03960823189,1,0.7753696754,,0.002455680758,0.003745792545,1.525358104
Translation regulation,0.019997279,0.018665491,0.015736274,0.027853881,0.022010708,0.033225619,0.019894675,0.023119886,0.029000518,0.019340974,0.019627507,0.02684673,0.015873016,0.022104494,0.026048171,0.022109918,0.021004781,0.021419009,0.024169518,0.032319582,0.021252943,0.017009751,0.014146537,0.01258172,0.022233325,0.014784633,0.020692758,0.019422482,0.02158584,0.021999443,0.025035096,0.019189765,0.022479025,0.019577674,0.016885553,0.024925569,0.021004973,0.033331317,0.021652232,0.023219642,0.029644126,0.018367575,0.010217391,0.019810796,0.010830325,0.019622093,0.013984462,0.012766848,0.02148185,0.024912988,0.016769638,0.014287057,0.02276176,0.019749518,0.017524763,0.009214355,0.013883814,0.014163693,0.014141588,0.012526767,0.024154589,0.01784691,0.023299004,0.019491917,0.023924368,0.017878563,,"GROUP 1 vs GROUP2 pvalue:  0.05 , Group 1:  1  to  33 , Group 2:  34  to  66",,0.0368301871,1,0.6976091236,,0.03960823189,1,0.7753696754,,0.02159943482,0.01890465812,0.8752385551
Purine metabolism,0,0,0,0,0,0.000331428,0,0,0,0,0,0,0,0,0,0,0,0,5.52E-05,0,0,0,0.000133458,0,0,0,0,0,0,0.000139237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"GROUP 1 vs GROUP2 pvalue:  0.05 , Group 1:  1  to  33 , Group 2:  34  to  66",,0.08890013611,1,0.6976091236,,0.04224877991,1,0.7753696754,,2.00E-05,0,0.00E+00
