,C1.1,C1.2,C1.3,C1.4,C1.5,C1.6,C1.7,C1.8,C1.9,C1.10,C1.11,C1.12,C1.13,C1.14,C1.15,C1.16,C1.17,C1.18,C1.19,C1.20,C1.21,C1.22,C1.23,C1.24,C1.25,C1.26,C1.27,C1.28,C1.29,C1.30,C1.31,C1.32,C1.33,ABC.1,ABC.2,ABC.3,ABC.4,ABC.5,ABC.6,ABC.7,ABC.8,ABC.9,ABC.10,ABC.11,ABC.12,ABC.13,ABC.14,ABC.15,ABC.16,ABC.17,ABC.18,ABC.19,ABC.20,ABC.21,ABC.22,ABC.23,ABC.24,ABC.25,ABC.26,ABC.27,ABC.28,ABC.29,ABC.30,ABC.31,ABC.32,ABC.33,Abundance,Space1,description,Space2,pvalue (Ttest),Bonferoni Correction (Ttest),Benjamin-Hochberger Correction (Ttest),Space3,Mann-Whitney U Test (Wilcox-Test),Bonferoni Correction (Wilcox-Test),Benjamin-Hochberger Correction (Wilcox-Test),Space5,Average Group 1,Average Group 2,Group_2/Group_1
Meta-Protein 33,0.057660466,0.017453592,0.088756537,0.022038567,0.010687186,0.011583012,0.017621145,0.015081405,0.007932804,0.053938859,0.003365004,0.066879659,0.031254835,0.008051742,0.057592854,0.000304925,0.021797045,0.003783718,0.026807877,0.003914591,0.02603164,0.00804829,0.057474924,0.000469851,0.03313339,0.041615017,0.000443984,0.019815994,0.01811818,0.040636042,0.00309119,0.014323911,0.101066193,0.02848514,0.003047514,0.006598985,0.005778157,0.016709259,0.006000706,0.011054025,0.004960317,0.003139086,0.003038674,0.003041363,0.018189087,0.013108142,0.012454593,0.005087764,0.015612161,0.000790306,0.077034884,0.008905554,0.020703934,0.003029793,0.013589008,0.003778338,0.018563536,0,0.002592353,0.004077615,0.000723066,0.015356194,0.00701675,0.005736362,0.006055921,0.000652263,1.235685275,,"GROUP 1 vs GROUP2 pvalue:  0.05 , Group 1:  1  to  33 , Group 2:  34  to  66",,0.002158717921,1,0.4787624411,,0.001460777413,1,0.4961271955,,0.02699316452,0.01045184394,0.3872033579
Meta-Protein 3789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002233503,0,0,0,0,0,0,0.000276243,0.003801703,0,0,0,0,0,0.002107482,0,0.003280994,0,0,0,0.001511335,0,0,0.006048823,0,0,0,0,0.001404823,0,0.000896861,0.021561766,,"GROUP 1 vs GROUP2 pvalue:  0.05 , Group 1:  1  to  33 , Group 2:  34  to  66",,0.01124861785,1,0.4787624411,,0.001464773375,1,0.4961271955,,0,0.0006533868788,#DIV/0!
Meta-Protein 346,9.74E-05,0.000504439,0,0,0,0,0,0.000685518,0,0,0,0,0.000154727,0,0,0,0,0.000122055,0,0,0,0.000268276,0,0.000626468,0,0,0,0.001533381,0,0,0.00015456,0.000190985,0,0.000137278,0,0.00071066,9.47E-05,0,0.000529474,0.000778452,8.27E-05,0.000885383,0,0.000456204,0.00059964,0,0,0,0.000273898,0.000790306,0.001017442,0.000117178,0.000230044,0.000336644,0.000150989,0,0,0.000611901,0.000756103,0,0.000180766,0.001154601,0,0.000117069,0.000773096,0.000244598,0.015366932,,"GROUP 1 vs GROUP2 pvalue:  0.05 , Group 1:  1  to  33 , Group 2:  34  to  66",,0.01605191039,1,0.4787624411,,0.001615304712,1,0.4961271955,,0.0001314487394,0.0003342158152,2.54255626
Meta-Protein 3796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000304569,0,0,0,0,0,0,0,0.001520681,0,0,0,0,0,0.001844046,0,0.000937427,0,0,0,0.000755668,0,0,0.001728235,0,0,0,0,0,0.000901946,0.001141459,0.009134031,,"GROUP 1 vs GROUP2 pvalue:  0.05 , Group 1:  1  to  33 , Group 2:  34  to  66",,0.007239954072,1,0.4787624411,,0.002932206535,1,0.4961271955,,0,0.0002767888182,#DIV/0!
Meta-Protein 214,0.000486997,0.001513317,0.001307379,0.000688705,0.000320616,0.001287001,0.002753304,0.001885176,0.00209986,0.002204586,0.000395883,0.00170394,0.001237815,0.001055966,0.000470146,0.000609849,0.000968758,0.00158672,0.000496442,0,0.000669624,0.000670691,0.001432893,0.001566171,0.001713796,0.000885426,0.000887968,0.001769285,0.000617665,0.000392619,0.001081917,0.001145913,0.000888494,0.000480472,0.000138523,0.001116751,0.000189448,0.00402988,0.001676668,0.001868286,0.000744048,0.000160979,0,0.000456204,0.00119928,0.001512478,0,0,0.001506437,0,0,0.000234357,0.000230044,0.001009931,0,0,0,0.000458926,0.000216029,0.000843645,0.000542299,0.001962822,0,0.000468274,0.001417343,0.000978394,0.06023644,,"GROUP 1 vs GROUP2 pvalue:  0.05 , Group 1:  1  to  33 , Group 2:  34  to  66",,0.03317624478,1,0.4787624411,,0.003064992856,1,0.4961271955,,0.001114997636,0.0007103490303,0.6370856826
Meta-Protein 6585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000692617,0,0,0.000294869,0,0,0.000330688,0.000160979,0,0.000456204,0,0,0.000518941,0,0,0,0,0,0,0,0,0,0,0,0.000540073,0,0,0,0,0,0,0,0.002994372,,"GROUP 1 vs GROUP2 pvalue:  0.05 , Group 1:  1  to  33 , Group 2:  34  to  66",,0.01118971451,1,0.4787624411,,0.005791832345,1,0.4961271955,,0,9.07E-05,#DIV/0!
Meta-Protein 1173,0,0.000100888,0,0,0,0,0,0,0,0,0,0,0,0.000263992,0,0,0,0,0,0,0.000669624,0,0,0,0,0,0,0,0,0,0,0,0,0.000343194,0.000692617,0.000203046,0,0,0,7.78E-05,0.000165344,0.000241468,0,0,0.00059964,0,0,0,0.000410846,0,0.000145349,0,0,0.000168322,0.000452967,0,0,0,0,0,0,0.00011546,0,0,0,0,0.004650602,,"GROUP 1 vs GROUP2 pvalue:  0.05 , Group 1:  1  to  33 , Group 2:  34  to  66",,0.05113613478,1,0.4787624411,,0.01021126353,1,0.4961271955,,3.13E-05,0.0001095787333,3.50E+00
Meta-Protein 185,0.000389598,0.000807103,0.001162115,0.001033058,0,0,0.00027533,0.000342759,0.001166589,0.001763668,0,0.001277955,0.000928361,0.000263992,0,0.000609849,0.000968758,0.000244111,0.000330961,0,0.001255545,0,0.000636841,0.000783085,0.000571265,0.000531256,0.000443984,0.001179523,0.001441219,0.000588928,0.000618238,0.001145913,0.000666371,0.000823667,0.00041557,0.000406091,0.000378896,0,0,0.000233536,0.000330688,0,0,0.000304136,0.0009994,0.00025208,0,0,0.00109559,0.001317176,0.00247093,0.000468713,0,0,0,0,0.000883978,0,0.000432059,0.001124859,0,0.000577301,0,0.000468274,0,0.000163066,0.034572386,,"GROUP 1 vs GROUP2 pvalue:  0.05 , Group 1:  1  to  33 , Group 2:  34  to  66",,0.05024859099,1,0.4787624411,,0.01120545176,1,0.4961271955,,0.0006492840909,0.0003983639394,0.6135433549
Meta-Protein 1426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.86E-05,0,0,0,0,0,0.00015569,0,0,0,0,0,0,0,0,0,0,0.000145349,0,0,0,0.000150989,0,0,0,0,0,0,0.00011546,0,0,0,0.000163066,0.000799193,,"GROUP 1 vs GROUP2 pvalue:  0.05 , Group 1:  1  to  33 , Group 2:  34  to  66",,0.01486796642,1,0.4787624411,,0.01131215877,1,0.4961271955,,0,2.42E-05,#DIV/0!
Meta-Protein 1848,0,0,0,0,0.000213744,0,0,0,0,0,0,0,0.000309454,0.000395987,0,0,0,0,0,0,0,0,0.000636841,0,0,0,0,0,0,0.000588928,0.000463679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002608633,,"GROUP 1 vs GROUP2 pvalue:  0.05 , Group 1:  1  to  33 , Group 2:  34  to  66",,0.01791788608,1,0.4787624411,,0.01131215877,1,0.4961271955,,7.90E-05,0,0.00E+00
