Metaprotein,Superkingdom,Kingdom ,Phylum,Class,Order,Family,Genus,Species,UniRef50,KEGG-Number,EC-Number,P01_C,P02_C,P03_C,P04_C,P05_C,P06_C,P06b_C,P06c_C,P07_C,P07b_C,P07c_C,P08_C,P09_C,P10_C,P11_C,P12_C,P13_C,P14_C,P15_C,P16_C,P17_C,P18_CD,P18b_CD,P18c_CD,P19_CD,P20_CD,P21_CD,P22_CD,P23_CD,P24_CD,P25_CD,P26_CD,P27_CD,P28_CD,P29_UC,P30_UC,P31_UC,P32_UC,P33_UC,P34_UC,P35_UC,P36_UC,P37_UC,P38_UC,P39_UC,P40_UC,P41_UC,P42_UC
11S2_SESIN 11S globulin seed storage protein 2 OS=Sesamum indicum PE=2 SV=1,Eukaryota,Viridiplantae,Streptophyta,unassigned,Lamiales,Pedaliaceae,Sesamum,Sesamum indicum,UniRef50_Q9XHP0,|,|,25,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11S3_HELAN 11S globulin seed storage protein G3 OS=Helianthus annuus GN=HAG3 PE=3 SV=1,Eukaryota,Viridiplantae,Streptophyta,unassigned,Asterales,Asteraceae,Helianthus,Helianthus annuus,UniRef50_P19084,|,|,0,0,2,0,0,0,0,0,0,0,0,0,0,0,17,0,0,5,12,3,3,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,2,3,0,0,0,4,0,0,0,0,0
11SB_CUCMA 11S globulin subunit beta OS=Cucurbita maxima PE=1 SV=1,Eukaryota,Viridiplantae,Streptophyta,unassigned,Cucurbitales,Cucurbitaceae,Cucurbita,Cucurbita maxima,UniRef50_P13744,|,|,98,0,19,16,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,28,1111,25,9,0,9,0,0,0,0
12S_PROFR Methylmalonyl-CoA carboxyltransferase 12S subunit OS=Propionibacterium freudenreichii subsp. shermanii PE=1 SV=3,Bacteria,unassigned,Actinobacteria,Actinobacteria,Actinomycetales,Propionibacteriaceae,Propionibacterium,Propionibacterium freudenreichii,UniRef50_Q8GBW6,|,2.1.3.1|,0,0,0,0,0,2,2,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1433_CHLRE 14-3-3-like protein OS=Chlamydomonas reinhardtii PE=2 SV=1,Eukaryota,Viridiplantae,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonadaceae,Chlamydomonas,Chlamydomonas reinhardtii,UniRef50_Q9S9Z8,K06630|,|,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14339_SOLLC 14-3-3 protein 9 OS=Solanum lycopersicum GN=TFT9 PE=2 SV=2,Eukaryota,Viridiplantae,Streptophyta,unassigned,Solanales,Solanaceae,Solanum,Solanum lycopersicum,UniRef50_P29310,K06630|,|,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1433C_SOYBN 14-3-3-like protein C OS=Glycine max GN=GF14C PE=2 SV=1,Eukaryota,Viridiplantae,Streptophyta,unassigned,Fabales,Fabaceae,Glycine,Glycine max,UniRef50_Q96452,|,|,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1433D_SOYBN 14-3-3-like protein D OS=Glycine max GN=GF14D PE=2 SV=1,Eukaryota,Viridiplantae,Streptophyta,unassigned,Fabales,Fabaceae,Glycine,Glycine max,UniRef50_P61981,K06630|,|,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1433Z_SHEEP 14-3-3 protein zeta/delta OS=Ovis aries GN=YWHAZ PE=1 SV=1,Eukaryota,Metazoa,Chordata,unassigned,unassigned,unassigned,unassigned,unassigned,UniRef50_P63104,|K16197|,|,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
2SS1_BRANA Napin-1 (Fragment) OS=Brassica napus PE=2 SV=1,Eukaryota,Viridiplantae,Streptophyta,unassigned,Brassicales,Brassicaceae,unassigned,unassigned,UniRef50_P38057,|,|,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,18,17,17,0,12,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0
2SS1_SESIN 2S seed storage protein 1 OS=Sesamum indicum PE=2 SV=1,Eukaryota,Viridiplantae,Streptophyta,unassigned,Lamiales,Pedaliaceae,Sesamum,Sesamum indicum,UniRef50_Q9XHP1,|,|,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2SS4_BRANA Napin OS=Brassica napus GN=NAP1 PE=2 SV=1,Eukaryota,Viridiplantae,Streptophyta,unassigned,Brassicales,Brassicaceae,Brassica,Brassica napus,UniRef50_P09893,|,|,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,10,10,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0
IGHA1_HUMAN Ig alpha-1 chain C region OS=Homo sapiens GN=IGHA1 PE=1 SV=2,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,UniRef50_P01876,|,|,38,23,1001,749,215,442,457,452,325,405,347,1243,746,623,218,44,79,890,520,535,650,391,341,258,180,158,44,35,119,221,143,51,988,0,8,641,179,69,38,19,154,172,112,53,60,171,59,596
6FEH_BETVU Fructan 6-exohydrolase OS=Beta vulgaris GN=6-FEH PE=1 SV=1,Eukaryota,Viridiplantae,Streptophyta,unassigned,Caryophyllales,Amaranthaceae,Beta,Beta vulgaris,UniRef50_Q8W4S6,K20849|,3.2.1.154|,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,6,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6PGD_CHLMU 6-phosphogluconate dehydrogenase, decarboxylating OS=Chlamydia muridarum (strain MoPn / Nigg) GN=gnd PE=3 SV=1",Bacteria,unassigned,Chlamydiae,Chlamydiia,Chlamydiales,Chlamydiaceae,Chlamydia,Chlamydia muridarum,UniRef50_P12013,K00033|,1.1.1.44|,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6PGD_HAEIN 6-phosphogluconate dehydrogenase, decarboxylating OS=Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd) GN=gnd PE=3 SV=1",unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,UniRef50_P38720,K00033|,1.1.1.44|,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0
"6PGD_KLEPN 6-phosphogluconate dehydrogenase, decarboxylating OS=Klebsiella pneumoniae GN=gnd PE=3 SV=2",Bacteria,unassigned,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Klebsiella,Klebsiella pneumoniae,UniRef50_P00350,|,1.1.1.44|,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6PGD_SHEEP 6-phosphogluconate dehydrogenase, decarboxylating OS=Ovis aries GN=PGD PE=1 SV=4",Eukaryota,Metazoa,Chordata,Mammalia,unassigned,unassigned,unassigned,unassigned,UniRef50_P52209,K00033|,1.1.1.44|,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0
IGKC_HUMAN Ig kappa chain C region OS=Homo sapiens GN=IGKC PE=1 SV=1,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,UniRef50_P01834,|,|,68,66,91,68,63,41,42,51,93,90,81,544,125,68,32,145,50,112,115,68,136,1169,1096,1098,616,1095,68,429,607,804,555,58,925,0,120,1130,976,103,130,81,1467,1168,869,123,87,876,463,878
A1AT_CHLAE Alpha-1-antitrypsin (Fragment) OS=Chlorocebus aethiops GN=SERPINA1 PE=2 SV=1,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Cercopithecidae,Chlorocebus,Chlorocebus aethiops,UniRef50_O00394,|,|,31,4,8,7,7,6,7,0,10,3,0,19,17,21,13,20,17,9,13,5,0,126,128,107,124,256,103,98,116,92,91,75,93,28,84,191,119,81,268,25,232,202,138,66,44,62,78,45
A1AT2_HORSE Alpha-1-antiproteinase 2 OS=Equus caballus PE=1 SV=2,Eukaryota,Metazoa,Chordata,Mammalia,unassigned,unassigned,unassigned,unassigned,UniRef50_P01009,|,|,82,30,33,35,57,65,44,0,54,44,35,0,116,95,70,107,84,0,54,42,30,773,779,0,0,895,308,274,270,423,310,291,348,163,304,808,836,334,1240,145,897,0,714,425,247,276,332,232
A1AT6_MOUSE Alpha-1-antitrypsin 1-6 OS=Mus musculus GN=Serpina1f PE=2 SV=1,Eukaryota,Metazoa,Chordata,Mammalia,Rodentia,Muridae,Mus,Mus musculus,UniRef50_Q9DCQ7,|,|,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,5,6,0,0,0,0,0,0,0,0,5,0,0,4,0,0,6
CEL2A_HUMAN Chymotrypsin-like elastase family member 2A OS=Homo sapiens GN=CELA2A PE=1 SV=1,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,UniRef50_P08217,K01346|,3.4.21.71|,0,4,0,0,0,6,5,4,0,2,2,21,3,3,15,2,5,11,29,3,46,1192,1084,1034,3626,32,23,2590,2198,913,1839,10,0,15,796,459,187,71,32,248,20,47,900,11,267,367,3,966
A2AP_MOUSE Alpha-2-antiplasmin OS=Mus musculus GN=Serpinf2 PE=1 SV=1,Eukaryota,Metazoa,Chordata,Mammalia,Rodentia,Muridae,Mus,Mus musculus,UniRef50_P08697,K03983|,|,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
CTRC_HUMAN Chymotrypsin-C OS=Homo sapiens GN=CTRC PE=1 SV=2,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,UniRef50_Q99895,K01311|,3.4.21.2|,151,41,23,286,34,69,92,112,44,52,38,354,163,116,357,490,347,484,569,253,501,133,115,109,938,498,286,911,746,342,789,223,55,159,542,286,168,509,220,252,78,43,585,137,133,369,51,503
